Keyword,Average Salary,Example URLs
writer,416.7090377526376,"https://www.upwork.com/jobs/need-Portuguese-writers-who-can-understand-and-write-Portuguese_%7E01a8e8d6fbcd142d1a?source=rss, https://www.upwork.com/jobs/YouTube-Script-Writer-Royalty-and-Monarchy_%7E0116758b5280a9cab6?source=rss, https://www.upwork.com/jobs/Looking-for-script-writer-for-YouTube-channel_%7E015c005904beb0944d?source=rss"
marketing,409.18112939505147,"https://www.upwork.com/jobs/Talent-Hunter-Specialized-Marketing_%7E016285f94066dffb31?source=rss, https://www.upwork.com/jobs/Affiliate-Marketing_%7E01c264df4246a6e7ae?source=rss, https://www.upwork.com/jobs/Digital-Marketing-Sales-Closing-Specialist_%7E01946e98006f7b3675?source=rss"
ecommerce,391.69492352749756,"https://www.upwork.com/jobs/Looker-Studio-Dashboard-for-Leadgen-and-Commerce-with-Tool-quot-Reporting-Ninja-quot_%7E013495c5e08db96e73?source=rss, https://www.upwork.com/jobs/Social-Media-Manager-amp-Content-Creator-Wanted-for-Commerce-Brand_%7E0181c955c55bf7b5ec?source=rss, https://www.upwork.com/jobs/commerce-Facebook-ads-for-products_%7E01014098a880f221bc?source=rss"
agency,388.0419316375199,"https://www.upwork.com/jobs/Social-Media-Manager-and-Video-Editing-Agency_%7E01a4e09c1243a0199b?source=rss, https://www.upwork.com/jobs/Product-Manager-launch-new-products-and-services-for-Digital-Agency_%7E015f3689ace4bc0c96?source=rss, https://www.upwork.com/jobs/Create-Agency-Style-Business-For-Copywriting_%7E010a3da1fe63a1a5df?source=rss"
project,378.3010028653295,"https://www.upwork.com/jobs/Seeking-Creative-Video-Editor-for-Learning-Courses-Social-Media-and-Animation-Projects_%7E010a885fc1a6f0adbe?source=rss, https://www.upwork.com/jobs/Refactoring-Python-Project-for-Stock-Picking-Regression-Model_%7E01337a824ae58620c3?source=rss, https://www.upwork.com/jobs/are-looking-for-Software-developer-for-our-project_%7E0113fac20b54c1ce9c?source=rss"
experienced,377.51612903225805,"https://www.upwork.com/jobs/Experienced-Media-Buyer-For-Solar-Pannel-and-Roofing-installation-companies_%7E0173dd0447366e03d2?source=rss, https://www.upwork.com/jobs/Experienced-Full-Cycle-Recruiter-LATAM-Immediate-Hire_%7E01c92463905b29db30?source=rss, https://www.upwork.com/jobs/Experienced-Architect-for-Interior-Modeling-Royal-Academy-Arts-London_%7E01fada3a2848075e15?source=rss"
experience,360.58000566411783,"https://www.upwork.com/jobs/Experienced-Media-Buyer-For-Solar-Pannel-and-Roofing-installation-companies_%7E0173dd0447366e03d2?source=rss, https://www.upwork.com/jobs/Experienced-Full-Cycle-Recruiter-LATAM-Immediate-Hire_%7E01c92463905b29db30?source=rss, https://www.upwork.com/jobs/Expert-Facebook-Google-Ads-Manager-for-Attorney-Clients-with-GoHighLevel-Experience-LONG-TERM_%7E019354db36310c4083?source=rss"
designer,348.9073777980813,"https://www.upwork.com/jobs/designer-needed-create-model-character_%7E010b9392a52d9d9991?source=rss, https://www.upwork.com/jobs/Technical-Fashion-Designer-with-Skills-for-Long-Term-Work_%7E016b117dd4d7a7cf03?source=rss, https://www.upwork.com/jobs/need-logo-designer-who-can-create-simple-minimalist-design-for-company_%7E01697a3a823be1bd29?source=rss"
translation,347.08775409023303,"https://www.upwork.com/jobs/General-translation-local-languages_%7E01218e9f92dc943b94?source=rss, https://www.upwork.com/jobs/Brochure-Translation-Spanish-amp-Portuguese-Brazil_%7E01deaee0e10dcd6a98?source=rss, https://www.upwork.com/jobs/Japanese-English-translation_%7E01820583afebfe213e?source=rss"
page,345.46090534979425,"https://www.upwork.com/jobs/Convert-single-page-figma-Nextjs-Urgently_%7E0154449e29dea16169?source=rss, https://www.upwork.com/jobs/Collecting-the-Facebook-pages-candidates-for-the-2024-Bangladeshi-Election_%7E01250f560184f542dd?source=rss, https://www.upwork.com/jobs/Copyeditor-for-pages-Manuscript_%7E01f1f22eea39c74cba?source=rss"
help,335.2104897878247,"https://www.upwork.com/jobs/Lost-Desktop-Wallpaper-Need-Help-Locating_%7E01b382c45436c59743?source=rss, https://www.upwork.com/jobs/Need-help-for-wordpress-website_%7E015e1b9ad6ce69326d?source=rss, https://www.upwork.com/jobs/Jotform-help-needed_%7E0141f5e8d0cd57f009?source=rss"
react,328.95411808950735,"https://www.upwork.com/jobs/Full-Stack-Mobile-Developer-for-React-Native-amp-Backend-for-Social-App_%7E01d3c3967c840e93dd?source=rss, https://www.upwork.com/jobs/Full-Stack-Developer-React-Spring-Boot_%7E01364171ffe8898642?source=rss, https://www.upwork.com/jobs/Website-Revamp-Front-end-Developer-Gatsby-React-and-Tailwind-CSS_%7E01d489ad1517ab82f5?source=rss"
us,327.62779843520025,"https://www.upwork.com/jobs/Located-Manager_%7E0129eb6d02bcf83e15?source=rss, https://www.upwork.com/jobs/Customer-Service_%7E01a1114f586df98343?source=rss, https://www.upwork.com/jobs/CapCut-genius_%7E017f0b773368f9847e?source=rss"
real,325.66494693396226,"https://www.upwork.com/jobs/Social-Media-Content-Manager-for-Real-Estate_%7E01fa9bae3b20b01b59?source=rss, https://www.upwork.com/jobs/Unreal-Niagara-Troubleshooting_%7E010046ada948c5ee3d?source=rss, https://www.upwork.com/jobs/Affordable-Real-Estate-Photographer-Redlands_%7E014d9f4b955ea3bc00?source=rss"
service,317.4333976833977,"https://www.upwork.com/jobs/Customer-Service_%7E01a1114f586df98343?source=rss, https://www.upwork.com/jobs/Looking-for-appointment-setter-who-knows-social-media-marketing-amp-virtual-assistant-services_%7E019b2b4045bc0e6736?source=rss, https://www.upwork.com/jobs/Needed-Assistance-Delivery-Service_%7E010643f0c353b78b53?source=rss"
business,315.5889293633196,"https://www.upwork.com/jobs/Simple-logo-business-card-and-letterhead-design_%7E0146d49048aaf33e7f?source=rss, https://www.upwork.com/jobs/Online-business-manager_%7E01e178d64ba145c547?source=rss, https://www.upwork.com/jobs/Copywriter-SEO-friendly-articles-tech-innovation-and-business_%7E016e16e801bb2fcd1c?source=rss"
ad,313.09873823705635,"https://www.upwork.com/jobs/Looker-Studio-Dashboard-for-Leadgen-and-Commerce-with-Tool-quot-Reporting-Ninja-quot_%7E013495c5e08db96e73?source=rss, https://www.upwork.com/jobs/Linkedin-Ads-Coach_%7E01eef9f8fd0ece2d56?source=rss, https://www.upwork.com/jobs/Teach-about-SCADA-programming-using-TIA_%7E01fceecf861aeccae4?source=rss"
web,312.77377805830605,"https://www.upwork.com/jobs/PHP-HTML-CSS-WordPress-Developer-Needed-for-Website-Transformation_%7E01d53716ab39fc98c5?source=rss, https://www.upwork.com/jobs/Web3-Full-stack-Developer_%7E016de8daf913b57784?source=rss, https://www.upwork.com/jobs/Website-design-Design_%7E01bc8fd3fbc3c40886?source=rss"
graphic,308.55963658953254,"https://www.upwork.com/jobs/Graphic-designer-needed-for-sign-login-pages_%7E01c1cd1df3ba272c00?source=rss, https://www.upwork.com/jobs/Graphic-designer-needed-create-social-media-posts_%7E014f53f28f688ca72e?source=rss, https://www.upwork.com/jobs/Graphic-Designer_%7E01803645844a4f2b1d?source=rss"
design,308.2519552046998,"https://www.upwork.com/jobs/designer-needed-create-model-character_%7E010b9392a52d9d9991?source=rss, https://www.upwork.com/jobs/Technical-Fashion-Designer-with-Skills-for-Long-Term-Work_%7E016b117dd4d7a7cf03?source=rss, https://www.upwork.com/jobs/need-logo-designer-who-can-create-simple-minimalist-design-for-company_%7E01697a3a823be1bd29?source=rss"
product,306.79861005040476,"https://www.upwork.com/jobs/Shopify-Developer-Needed-for-Custom-Product-Options-Dawn-Theme_%7E0149ba0147033ec2b2?source=rss, https://www.upwork.com/jobs/Homeware-Product-Pattern-Designer_%7E01e1031b28c410bfca?source=rss, https://www.upwork.com/jobs/Need-ppc-expert-for-product-amazon_%7E01b1fffce298766e21?source=rss"
expert,303.17648697159126,"https://www.upwork.com/jobs/Expert-Facebook-Google-Ads-Manager-for-Attorney-Clients-with-GoHighLevel-Experience-LONG-TERM_%7E019354db36310c4083?source=rss, https://www.upwork.com/jobs/Need-Expert-Closer-Close-Warm-Leads_%7E0190e456c95f6f3a29?source=rss, https://www.upwork.com/jobs/Cold-Email-Copy-Expert_%7E01fea28ea7f9face38?source=rss"
integration,299.20201612903224,"https://www.upwork.com/jobs/Monday-asana-set-for-construction-project-management-and-zapier-integrations_%7E016eabd221bf6c3ed8?source=rss, https://www.upwork.com/jobs/Android-App-Purchase-Integration_%7E01b28a16ad4fc4ec80?source=rss, https://www.upwork.com/jobs/Need-High-Level-and-Duda-Integration-Expert_%7E01067a28a007a66b2b?source=rss"
looking,297.7044907778669,"https://www.upwork.com/jobs/looking-for-person-who-knows-how-write-algorithms-the-Chrome-browser-extension_%7E01c2cdefed730aa855?source=rss, https://www.upwork.com/jobs/Looking-For-Career-Consultant_%7E015aa37efc9fad6dac?source=rss, https://www.upwork.com/jobs/Looking-for-appointment-setter-who-knows-social-media-marketing-amp-virtual-assistant-services_%7E019b2b4045bc0e6736?source=rss"
wordpress,289.4954080876907,"https://www.upwork.com/jobs/Want-fix-the-WordPress-Plugin_%7E01c118851202b1a886?source=rss, https://www.upwork.com/jobs/PHP-HTML-CSS-WordPress-Developer-Needed-for-Website-Transformation_%7E01d53716ab39fc98c5?source=rss, https://www.upwork.com/jobs/Need-Someone-Update-4000-Url-the-Redirected-Links-Wordpress-Content_%7E011a0b9086a972c1ea?source=rss"
online,281.913589645984,"https://www.upwork.com/jobs/Online-business-manager_%7E01e178d64ba145c547?source=rss, https://www.upwork.com/jobs/Online-Speaker-and-Host-for-auctioning_%7E0161275b73f14dda7a?source=rss, https://www.upwork.com/jobs/React-developer-for-building-professional-online-business-mentorship-platform_%7E01906cc38ffaed1e0c?source=rss"
logo,280.2675082137299,"https://www.upwork.com/jobs/need-logo-designer-who-can-create-simple-minimalist-design-for-company_%7E01697a3a823be1bd29?source=rss, https://www.upwork.com/jobs/Logo-Design-for-Drone-Company_%7E01abfc9050c8a8db12?source=rss, https://www.upwork.com/jobs/Simple-logo-business-card-and-letterhead-design_%7E0146d49048aaf33e7f?source=rss"
lead,277.85592705167176,"https://www.upwork.com/jobs/Looker-Studio-Dashboard-for-Leadgen-and-Commerce-with-Tool-quot-Reporting-Ninja-quot_%7E013495c5e08db96e73?source=rss, https://www.upwork.com/jobs/Need-Expert-Closer-Close-Warm-Leads_%7E0190e456c95f6f3a29?source=rss, https://www.upwork.com/jobs/Lead-Generation-Specialist-for-amp-Tech-Consulting-Firms_%7E0126bd46d01a33e471?source=rss"
python,272.5231884057971,"https://www.upwork.com/jobs/Build-standalone-Python-app-that-records-system-audio-MacOS_%7E011848ed9a27097031?source=rss, https://www.upwork.com/jobs/Refactoring-Python-Project-for-Stock-Picking-Regression-Model_%7E01337a824ae58620c3?source=rss, https://www.upwork.com/jobs/Sematic-segmentation-using-remote-sensing-and-python-CNN_%7E015b8db45623342bb6?source=rss"
virtual,270.76552583862195,"https://www.upwork.com/jobs/Looking-for-appointment-setter-who-knows-social-media-marketing-amp-virtual-assistant-services_%7E019b2b4045bc0e6736?source=rss, https://www.upwork.com/jobs/Virtual-Assistant-For-Busy-Entrepreneur_%7E0127d8d2204c45b44e?source=rss, https://www.upwork.com/jobs/AMAZON-KDP-Book-Publishing-Virtual-Assistants-Must-Have-Experience-amp-Know-Kindle-Publishing_%7E018b3d05f4c05c6eb0?source=rss"
need,267.9600881401713,"https://www.upwork.com/jobs/need-Portuguese-writers-who-can-understand-and-write-Portuguese_%7E01a8e8d6fbcd142d1a?source=rss, https://www.upwork.com/jobs/PHP-HTML-CSS-WordPress-Developer-Needed-for-Website-Transformation_%7E01d53716ab39fc98c5?source=rss, https://www.upwork.com/jobs/designer-needed-create-model-character_%7E010b9392a52d9d9991?source=rss"
artist,263.1294088425236,"https://www.upwork.com/jobs/Passionate-Male-Voice-Artist-for-faceless-Youtube-channel_%7E016035c82d7be1e22c?source=rss, https://www.upwork.com/jobs/Photo-manipulation-artist-PETS-niche_%7E0123b011c7e8e2565c?source=rss, https://www.upwork.com/jobs/American-Male-Voiceover-Artist-For-YouTube-Channel_%7E0110bc72d4ef205357?source=rss"
book,260.73856106027137,"https://www.upwork.com/jobs/Expert-Facebook-Google-Ads-Manager-for-Attorney-Clients-with-GoHighLevel-Experience-LONG-TERM_%7E019354db36310c4083?source=rss, https://www.upwork.com/jobs/Collecting-the-Facebook-pages-candidates-for-the-2024-Bangladeshi-Election_%7E01250f560184f542dd?source=rss, https://www.upwork.com/jobs/Typography-for-Book-Cover_%7E018bfc197da09f9984?source=rss"
needed,259.3367410866841,"https://www.upwork.com/jobs/PHP-HTML-CSS-WordPress-Developer-Needed-for-Website-Transformation_%7E01d53716ab39fc98c5?source=rss, https://www.upwork.com/jobs/designer-needed-create-model-character_%7E010b9392a52d9d9991?source=rss, https://www.upwork.com/jobs/Powerpoint-Designer-Needed-Move-Slides-Into-Existing-Template_%7E0197582eaa87430b76?source=rss"
management,258.9543847241867,"https://www.upwork.com/jobs/eBay-Dropshipping-store-management-and-general-more-sales_%7E01c3c5c67f721c9155?source=rss, https://www.upwork.com/jobs/Monday-asana-set-for-construction-project-management-and-zapier-integrations_%7E016eabd221bf6c3ed8?source=rss, https://www.upwork.com/jobs/Technical-Writer-Analysis-Document-for-Identity-Management_%7E011ffdb6b50ec9830d?source=rss"
data,247.98049332997735,"https://www.upwork.com/jobs/Data-Engineer_%7E015c34d1bcadde8702?source=rss, https://www.upwork.com/jobs/Pull-data-from-Microsoft-Ads-and-send-BigQuery-table-while-documenting-the-entire-process_%7E01562ea678dda204a1?source=rss, https://www.upwork.com/jobs/SEATTLE-Data-Anlyst_%7E0112036c1144943fff?source=rss"
using,246.28928266438942,"https://www.upwork.com/jobs/Teach-about-SCADA-programming-using-TIA_%7E01fceecf861aeccae4?source=rss, https://www.upwork.com/jobs/Sematic-segmentation-using-remote-sensing-and-python-CNN_%7E015b8db45623342bb6?source=rss, https://www.upwork.com/jobs/Website-Redesign-using-Figma_%7E01ce0609d550db783d?source=rss"
estate,242.66727199354318,"https://www.upwork.com/jobs/Social-Media-Content-Manager-for-Real-Estate_%7E01fa9bae3b20b01b59?source=rss, https://www.upwork.com/jobs/Affordable-Real-Estate-Photographer-Redlands_%7E014d9f4b955ea3bc00?source=rss, https://www.upwork.com/jobs/Media-Buyer-for-Real-Estate-Lead-Generation_%7E0128ac35f034148136?source=rss"
site,242.49033886785125,"https://www.upwork.com/jobs/SEO-for-Portuguese-Psychologist-site_%7E01b67082c5b51f7dec?source=rss, https://www.upwork.com/jobs/PHP-HTML-CSS-WordPress-Developer-Needed-for-Website-Transformation_%7E01d53716ab39fc98c5?source=rss, https://www.upwork.com/jobs/Website-design-Design_%7E01bc8fd3fbc3c40886?source=rss"
native,241.64515408664582,"https://www.upwork.com/jobs/Full-Stack-Mobile-Developer-for-React-Native-amp-Backend-for-Social-App_%7E01d3c3967c840e93dd?source=rss, https://www.upwork.com/jobs/Develop-simple-android-games-Libgdx-Godot-Android-Native-Flutter_%7E01306bd70848023e09?source=rss, https://www.upwork.com/jobs/Native-French-Translator-Needed-English-French_%7E0130b4d105c643b698?source=rss"
editor,241.3147926156797,"https://www.upwork.com/jobs/Seeking-Creative-Video-Editor-for-Learning-Courses-Social-Media-and-Animation-Projects_%7E010a885fc1a6f0adbe?source=rss, https://www.upwork.com/jobs/Talented-YouTube-video-editor_%7E011194f0ea38ad633f?source=rss, https://www.upwork.com/jobs/Chess-Education-Meme-Editor-needed_%7E0188ce9e6d00a887a6?source=rss"
website,240.58754606172272,"https://www.upwork.com/jobs/PHP-HTML-CSS-WordPress-Developer-Needed-for-Website-Transformation_%7E01d53716ab39fc98c5?source=rss, https://www.upwork.com/jobs/Website-design-Design_%7E01bc8fd3fbc3c40886?source=rss, https://www.upwork.com/jobs/Create-new-website-amp-Migrate-existing-new-hosting_%7E01eb94a1845c875a8f?source=rss"
channel,236.06315343317323,"https://www.upwork.com/jobs/Provide-Traffic-amp-New-Users-Telgram-channel-for-New-Hyper-Profitable-Crypto-Launch_%7E012c92941626b91608?source=rss, https://www.upwork.com/jobs/Passionate-Male-Voice-Artist-for-faceless-Youtube-channel_%7E016035c82d7be1e22c?source=rss, https://www.upwork.com/jobs/Looking-for-script-writer-for-YouTube-channel_%7E015c005904beb0944d?source=rss"
entry,234.446872125115,"https://www.upwork.com/jobs/Data-Entry-Tracking-Expenses_%7E0101c6138569a79896?source=rss, https://www.upwork.com/jobs/Marketing-Assistant-entry-level_%7E01dae88675ee58a5e7?source=rss, https://www.upwork.com/jobs/Data-Entry-Expert_%7E01ea31b634234e1b92?source=rss"
creator,223.04155292690325,"https://www.upwork.com/jobs/Video-Creator-Designer-Production_%7E01441152741e995d67?source=rss, https://www.upwork.com/jobs/YouTube-Video-Creator_%7E01b1e9ffe7698b5c1a?source=rss, https://www.upwork.com/jobs/based-UGC-creator_%7E016553a51fe1d7feda?source=rss"
video,222.54253137815334,"https://www.upwork.com/jobs/Promo-Video-for-Game_%7E0176b4aff4ccb4d948?source=rss, https://www.upwork.com/jobs/Seeking-Creative-Video-Editor-for-Learning-Courses-Social-Media-and-Animation-Projects_%7E010a885fc1a6f0adbe?source=rss, https://www.upwork.com/jobs/Talented-YouTube-video-editor_%7E011194f0ea38ad633f?source=rss"
api,217.20625,"https://www.upwork.com/jobs/Certified-personal-trainer-physical-therapist-write-SEO-articles-for-local-Tulsa-gym_%7E0114eb0f4f279e0247?source=rss, https://www.upwork.com/jobs/Instagram-Graph-API-setup_%7E012e33f91b8d7462cb?source=rss, https://www.upwork.com/jobs/Api-for-json-file_%7E016f5cabe5c09ed6fe?source=rss"
brand,208.23385518591,"https://www.upwork.com/jobs/Avocado-Oil-Brand-Packaging-Design_%7E01080c01cae11168f4?source=rss, https://www.upwork.com/jobs/Shopify-Website-Developer-Needed-for-Coffee-Brand_%7E013abc34081154d385?source=rss, https://www.upwork.com/jobs/Social-Media-Manager-amp-Content-Creator-Wanted-for-Commerce-Brand_%7E0181c955c55bf7b5ec?source=rss"
english,208.2215921725595,"https://www.upwork.com/jobs/with-good-spoken-english_%7E012cb7e1aeba8a99fd?source=rss, https://www.upwork.com/jobs/Translate-documents-from-Urdu-English_%7E01d7e0dc213dd75df4?source=rss, https://www.upwork.com/jobs/Native-French-Translator-Needed-English-French_%7E0130b4d105c643b698?source=rss"
